First_Name,Last_Name,Season,Position,Team_End_Season,Shot,Shot2,height_in,weight_lbs,Signing Age,Length,AAV,Expiry_Age,Expiry Status,next_length,next_aav,pred_length,pred_AAV,GP,G,A,P,PIM,GF_pct,CF_pct,TOI_5x5,TOI_PP,TOI_PK,EVO_GAR,EVD_GAR,PPO_GAR,SHD_GAR,Take_GAR,Draw_GAR,Cap_Ceiling,AAV_pct_cap,Next_Cap_Ceiling,next_AAV_pct_cap,pred_AAV_pct_cap,Team,Draft_Position_Raw,Undrafted
Ivan,Provorov,2025,Defenseman,CBJ,1,Left,73,225,22,6,"$6,750,000",28,UFA,7,"$8,500,000",7,"$8,517,170",82,7,26,33,31,52,48,19.07,0.92,2.4,2.6,-0.5,-0.2,0.7,1.9,0.2,"$88,000,000",7.7%,"$95,500,000",8.9%,8.9%,CBJ,7,0
Brock,Boeser,2025,Winger,VAN,0,Right,73,207,25,3,"$6,650,000",28,UFA,7,"$7,250,000",6,"$7,319,255",75,25,25,50,16,46,48,14.18,3.07,0,0.6,-2.4,2.8,0,1.8,-1.4,"$88,000,000",7.6%,"$95,500,000",7.6%,7.7%,VAN,23,0
Claude,Giroux,2025,Center,OTT,0,Right,71,187,34,3,"$6,500,000",37,UFA,1,"$4,750,000",1,"$4,855,133",81,15,35,50,18,48,53,12.58,2.2,2.22,2.1,0.5,2.2,0.7,1,-0.3,"$88,000,000",7.4%,"$95,500,000",5.0%,5.1%,OTT,22,0
Jeff,Petry,2025,Defenseman,DET,0,Right,75,207,32,4,"$6,250,000",36,UFA,1,"$1,025,000",1,"$1,392,565",44,1,7,8,16,45,42,17.1,0.2,1.1,-0.6,0.4,0.1,0,0.3,0.1,"$88,000,000",7.1%,"$95,500,000",1.1%,1.5%,DET,45,0
Brad,Marchand,2025,Center,FLA,1,Left,69,176,28,8,"$6,125,000",36,UFA,6,"$5,250,000",5,"$5,220,107",71,23,28,51,64,48,50,13.07,3.02,1.28,2.9,-6,-0.5,3.2,-0.9,2.2,"$88,000,000",7.0%,"$95,500,000",5.5%,5.5%,BOS/FLA,71,0
Taylor,Hall,2025,Winger,CHI,1,Left,73,209,29,4,"$6,000,000",33,UFA,3,"$3,166,667",2,"$3,424,512",77,18,24,42,36,46,51,13.07,1.63,0.02,5.9,-4.1,0,0,-0.7,0.8,"$88,000,000",6.8%,"$95,500,000",3.3%,3.6%,CAR/CHI,1,0
Brock,Nelson,2025,Center,NYI,1,Left,76,205,27,6,"$6,000,000",33,UFA,3,"$7,500,000",3,"$7,416,428",80,26,30,56,18,57,49,14.68,2.23,0.93,9.1,-0.6,-0.3,-0.6,2.1,0,"$88,000,000",6.8%,"$95,500,000",7.9%,7.8%,COL/NYI,30,0
Nikolaj,Ehlers,2025,Winger,WPG,1,Left,72,168,21,7,"$6,000,000",28,UFA,6,"$8,500,000",7,"$8,198,332",69,24,39,63,17,63,53,12.57,2.38,0.03,6.8,0.6,3,0,1.6,2.1,"$88,000,000",6.8%,"$95,500,000",8.9%,8.6%,WPG,9,0
Vladislav,Gavrikov,2025,Defenseman,LA,1,Left,75,220,27,2,"$5,875,000",29,UFA,7,"$7,000,000",7,"$6,989,640",82,5,25,30,28,59,55,18.9,0.08,3.07,-1.6,8.7,-0.1,-0.3,1.5,-1.2,"$88,000,000",6.7%,"$95,500,000",7.3%,7.3%,L.A,159,0
Neal,Pionk,2025,Defenseman,WPG,0,Right,72,190,26,4,"$5,875,000",30,UFA,6,"$7,000,000",6,"$7,058,588",69,10,29,39,44,58,51,18.17,1.33,1.67,2.5,3.7,3.1,-1.5,0.7,-0.7,"$88,000,000",6.7%,"$95,500,000",7.3%,7.4%,WPG,250,1
Esa,Lindell,2025,Defenseman,DAL,1,Left,75,216,24,6,"$5,800,000",30,UFA,5,"$5,250,000",5,"$5,310,248",80,5,21,26,14,59,46,17.68,0.22,3.4,4.7,7.3,-0.1,2.2,2.3,0.1,"$88,000,000",6.6%,"$95,500,000",5.5%,5.6%,DAL,74,0
Pavel,Buchnevich,2025,Center,STL,1,Left,73,196,26,4,"$5,800,000",30,UFA,6,"$8,000,000",6,"$7,948,080",76,20,37,57,23,56,49,14.65,2.13,1.05,9.2,-4.8,0.2,-1.6,1.5,-1.4,"$88,000,000",6.6%,"$95,500,000",8.4%,8.3%,STL,75,0
Andrew,Mangiapane,2025,Center,WSH,1,Left,70,183,26,3,"$5,800,000",29,UFA,2,"$3,600,000",3,"$3,714,398",81,14,14,28,24,50,53,11.47,1.17,0.13,-3.7,3.4,0.2,0.3,0.7,0.6,"$88,000,000",6.6%,"$95,500,000",3.8%,3.9%,WSH,166,0
Travis,Konecny,2025,Winger,PHI,0,Right,70,192,22,6,"$5,500,000",28,UFA,8,"$8,750,000",8,"$8,889,126",82,24,52,76,53,44,48,15.55,2.65,1.2,1.3,-4,0.2,0.9,1.4,-0.4,"$88,000,000",6.3%,"$95,500,000",9.2%,9.3%,PHI,24,0
Andrei,Kuzmenko,2025,Winger,PHI,0,Right,71,194,26,2,"$5,500,000",28,UFA,1,"$4,300,000",1,"$4,291,694",66,11,26,37,14,49,52,12.57,2.62,0,3,2.2,2.5,0,0.5,1.2,"$88,000,000",6.3%,"$95,500,000",4.5%,4.5%,CGY/L.A/PHI,250,1
Jaccob,Slavin,2025,Defenseman,CAR,1,Left,75,207,23,7,"$5,300,000",30,UFA,8,"$6,396,062",8,"$6,547,397",80,6,21,27,8,50,57,17.68,0.15,2.75,4.7,2.6,-0.1,2.2,2.7,-0.7,"$88,000,000",6.0%,"$95,500,000",6.7%,6.9%,CAR,120,0
Shea,Theodore,2025,Defenseman,VGK,1,Left,74,196,23,7,"$5,200,000",30,UFA,7,"$7,425,000",6,"$7,373,732",67,7,50,57,26,57,52,18.57,2.55,0.15,4.4,0.8,1.6,0.2,0.9,-0.3,"$88,000,000",5.9%,"$95,500,000",7.8%,7.7%,VGK,26,0
Yanni,Gourde,2025,Center,TB,1,Left,69,174,26,6,"$5,166,667",32,UFA,6,"$2,333,333",5,"$2,481,794",57,7,24,31,52,51,53,14.07,0.42,1.07,4.8,1.9,0,-0.9,-0.1,-0.4,"$88,000,000",5.9%,"$95,500,000",2.4%,2.6%,SEA/T.B,250,1
Kyle,Palmieri,2025,Winger,NYI,0,Right,71,185,30,4,"$5,000,000",34,UFA,2,"$4,750,000",2,"$4,736,813",82,24,24,48,20,48,47,14.27,2.2,1.02,5.9,-4.5,0.2,0.1,1.3,-0.2,"$88,000,000",5.7%,"$95,500,000",5.0%,5.0%,NYI,26,0
Reilly,Smith,2025,Winger,VGK,1,Left,73,185,31,3,"$5,000,000",34,UFA,1,"$2,000,000",1,"$2,374,131",79,13,27,40,24,50,50,12.52,0.92,1.63,5.2,0.5,0.8,2.2,0.3,-1,"$88,000,000",5.7%,"$95,500,000",2.1%,2.5%,NYR/VGK,69,0
Mikael,Granlund,2025,Center,SJ,1,Left,70,194,29,4,"$5,000,000",33,UFA,3,"$7,000,000",3,"$6,806,558",83,22,44,66,28,51,44,14.05,2.72,1.47,5.8,-9.6,-0.3,-2.1,0.6,-0.1,"$88,000,000",5.7%,"$95,500,000",7.3%,7.1%,DAL/S.J,9,0
Jason,Zucker,2025,Winger,BUF,1,Left,71,198,32,1,"$5,000,000",33,UFA,2,"$4,750,000",2,"$4,990,100",73,21,32,53,57,54,48,12.57,2.77,0.02,8.6,-3.8,2.1,0,-0.2,0.2,"$88,000,000",5.7%,"$95,500,000",5.0%,5.2%,BUF,59,0
Jakob,Chychrun,2025,Defenseman,WSH,1,Left,74,209,20,6,"$4,600,000",26,UFA,8,"$9,000,000",7,"$8,830,048",74,20,27,47,52,55,52,17.92,2.15,0.1,5.5,0,3.3,0.1,-0.4,0,"$88,000,000",5.2%,"$95,500,000",9.4%,9.2%,WSH,16,0
Ryan,Lindgren,2025,Defenseman,NYR,1,Left,72,194,26,1,"$4,500,000",27,UFA,4,"$4,500,000",4,"$4,599,748",72,4,18,22,40,46,50,16.72,0.02,2.38,-1.9,-0.4,0,-1.8,-0.7,1.2,"$88,000,000",5.1%,"$95,500,000",4.7%,4.8%,COL/NYR,49,0
Christian,Dvorak,2025,Center,MTL,1,Left,73,201,22,6,"$4,450,000",28,UFA,1,"$5,400,000",2,"$5,234,661",82,12,21,33,16,44,46,12.18,0.37,2.17,1,1,0.8,-0.1,0.9,-0.4,"$88,000,000",5.1%,"$95,500,000",5.7%,5.5%,MTL,58,0
Sam,Bennett,2025,Center,FLA,1,Left,73,194,25,4,"$4,425,000",29,UFA,8,"$8,000,000",7,"$7,761,960",76,25,26,51,90,46,54,14.1,2.2,0.07,6,-4.3,2.4,0,-2,0.5,"$88,000,000",5.0%,"$95,500,000",8.4%,8.1%,FLA,4,0
Carter,Verhaeghe,2025,Center,FLA,1,Left,74,181,25,3,"$4,166,667",28,UFA,8,"$7,000,000",7,"$6,685,842",81,20,33,53,46,52,56,14.47,2.38,0.02,4.3,-0.9,2.3,0,-0.4,-0.6,"$88,000,000",4.7%,"$95,500,000",7.3%,7.0%,FLA,82,0
Marcus,Pettersson,2025,Defenseman,VAN,1,Left,77,174,23,5,"$4,025,175",28,UFA,6,"$5,500,000",7,"$5,607,322",78,4,25,29,45,50,50,18.38,0.13,2.45,15.1,2,-0.1,1.9,0.2,-0.2,"$88,000,000",4.6%,"$95,500,000",5.8%,5.9%,PIT/VAN,38,0
Patrick,Kane,2025,Winger,DET,1,Left,70,176,35,1,"$6,500,000",36,UFA,1,"$7,000,000",1,"$6,772,204",72,21,38,59,12,52,48,14.23,2.82,0.02,1.2,-7.1,5,0,1.5,-0.5,"$88,000,000",7.4%,"$95,500,000",7.3%,7.1%,DET,1,0
Adam,Larsson,2025,Defenseman,SEA,0,Right,75,209,28,4,"$4,000,000",32,UFA,4,"$5,250,000",4,"$5,108,833",82,7,21,28,31,52,49,17.78,0.1,2.52,10.7,-3.3,-0.1,-1.3,1,-1.3,"$88,000,000",4.5%,"$95,500,000",5.5%,5.3%,SEA,4,0
Jake,McCabe,2025,Defenseman,TOR,1,Left,73,209,27,4,"$4,000,000",31,UFA,5,"$4,513,102",4,"$4,714,240",66,2,21,23,40,59,48,17.78,0.18,2.35,8.3,1.7,-0.2,0.7,0.1,1.1,"$88,000,000",4.5%,"$95,500,000",4.7%,4.9%,TOR,44,0
Robby,Fabbri,2025,Center,ANA,1,Left,71,185,25,3,"$4,000,000",28,UFA,1,"$775,000",2,"$955,997",44,8,8,16,20,46,42,13.65,1.03,0.92,-2,-7.4,-1.7,-2.1,-0.5,-0.1,"$88,000,000",4.5%,"$95,500,000",0.8%,1.0%,ANA,21,0
Alex,Iafallo,2025,Winger,WPG,1,Left,72,201,27,4,"$4,000,000",31,UFA,3,"$3,666,666",3,"$3,614,297",82,15,16,31,15,65,52,9.98,1.3,1.72,5.7,2.5,2.7,0.5,1.4,-0.5,"$88,000,000",4.5%,"$95,500,000",3.8%,3.8%,WPG,250,1
Noah,Dobson,2025,Defenseman,NYI,0,Right,76,201,22,3,"$4,000,000",25,RFA+ARB,8,"$9,500,000",7,"$9,329,412",71,10,29,39,28,51,53,18.57,2.85,0.68,0.7,6.3,-0.3,0.6,0.6,0.3,"$88,000,000",4.5%,"$95,500,000",9.9%,9.8%,NYI,12,0
Evan,Bouchard,2025,Defenseman,EDM,0,Right,75,192,23,2,"$3,900,000",25,RFA+ARB,4,"$10,500,000",5,"$10,371,190",82,14,53,67,32,52,59,18.88,3.17,0.23,6.6,-0.3,3.2,0,1.2,1.3,"$88,000,000",4.4%,"$95,500,000",11.0%,10.9%,EDM,10,0
K'Andre,Miller,2025,Defenseman,NYR,1,Left,77,209,23,2,"$3,872,000",25,RFA+ARB,8,"$7,500,000",7,"$7,597,626",74,7,20,27,22,48,49,18.32,0.77,2.12,4,-5.3,1.2,3.6,1.1,-0.2,"$88,000,000",4.4%,"$95,500,000",7.9%,8.0%,NYR,22,0
Bowen,Byram,2025,Defenseman,BUF,1,Left,73,205,22,2,"$3,850,000",24,RFA+ARB,2,"$6,250,000",3,"$6,438,902",82,7,31,38,46,54,49,18.63,1.1,1.73,8.4,-0.1,-1.4,-1,0.4,0.1,"$88,000,000",4.4%,"$95,500,000",6.5%,6.7%,BUF,4,0
Frank,Vatrano,2025,Center,ANA,1,Left,71,203,28,3,"$3,650,000",31,UFA,3,"$4,571,189",3,"$4,569,110",81,21,24,45,80,48,47,13.42,2.45,0.73,4.4,-3.5,-3.1,-0.6,-1.2,0,"$88,000,000",4.1%,"$95,500,000",4.8%,4.8%,ANA,250,1
Alex,Kerfoot,2025,Center,UTA,1,Left,71,185,28,2,"$3,500,000",30,UFA,1,"$3,000,000",2,"$3,062,035",81,11,17,28,14,44,54,12,0.33,2.38,-1.9,0.5,-1.7,-0.8,0.9,0.8,"$88,000,000",4.0%,"$95,500,000",3.1%,3.2%,UTA,150,0
Anthony,Mantha,2025,Winger,CGY,1,Left,77,234,29,1,"$3,500,000",30,UFA,1,"$4,500,000",1,"$4,134,039",13,4,3,7,11,72,49,11.95,1.87,0,2.1,1.5,-0.1,0,0,-0.3,"$88,000,000",4.0%,"$95,500,000",4.7%,4.3%,CGY,20,0
Brandon,Tanev,2025,Winger,WPG,1,Left,72,181,27,6,"$3,500,000",33,UFA,3,"$2,500,000",3,"$2,300,537",79,10,12,22,16,39,45,10.93,0.07,1.88,-2.5,-2.1,0,-1,1,0.2,"$88,000,000",4.0%,"$95,500,000",2.6%,2.4%,SEA/WPG,250,1
Gabriel,Vilardi,2025,Center,WPG,0,Right,75,216,23,2,"$3,437,500",25,RFA+ARB,6,"$7,500,000",5,"$7,545,418",71,27,34,61,14,59,48,14.85,2.63,0.02,7.6,1.9,5.4,0,1.3,1.2,"$88,000,000",3.9%,"$95,500,000",7.9%,7.9%,WPG,11,0
Joel,Armia,2025,Winger,MTL,0,Right,75,216,28,4,"$3,400,000",32,UFA,2,"$2,500,000",2,"$2,398,907",81,11,18,29,16,37,46,10.57,0.73,2.43,-0.9,-2.1,-1,1.8,0.8,-0.7,"$88,000,000",3.9%,"$95,500,000",2.6%,2.5%,MTL,16,0
Radek,Faksa,2025,Center,STL,1,Left,75,216,26,5,"$3,250,000",31,UFA,3,"$2,000,000",2,"$1,877,630",70,5,10,15,30,52,48,11.45,0.13,1.27,1.9,0.8,-0.2,-1.6,-0.9,-0.3,"$88,000,000",3.7%,"$95,500,000",2.1%,2.0%,STL,13,0
Cody,Ceci,2025,Defenseman,SJ,0,Right,75,209,27,4,"$3,250,000",31,UFA,4,"$4,500,000",4,"$4,471,917",85,4,20,24,24,49,43,18.12,0.1,2.33,6.7,-9,-0.1,-3.9,1.2,0.1,"$88,000,000",3.7%,"$95,500,000",4.7%,4.7%,DAL/S.J,15,0
Gustav,Nyquist,2025,Center,NSH,1,Left,71,176,33,2,"$3,185,000",35,UFA,1,"$3,250,000",1,"$3,261,525",79,11,17,28,16,35,52,12.97,1.58,1.27,-5.1,0,-1.7,1,1.2,0.5,"$88,000,000",3.6%,"$95,500,000",3.4%,3.4%,MIN/NSH,121,0
Brian,Dumoulin,2025,Defenseman,NJ,1,Left,76,214,31,2,"$3,150,000",33,UFA,3,"$4,000,000",3,"$3,752,011",80,3,19,22,14,46,46,16.75,0.03,2.05,-0.5,0.1,0,-1.8,2.1,0.7,"$88,000,000",3.6%,"$95,500,000",4.2%,3.9%,ANA/N.J,51,0
Ian,Cole,2025,Defenseman,UTA,1,Left,73,238,35,1,"$3,100,000",36,UFA,1,"$3,000,000",1,"$3,029,225",82,1,16,17,77,47,52,16.8,0.03,2.67,-0.4,-1,0,-1.8,-3.4,0.1,"$88,000,000",3.5%,"$95,500,000",3.1%,3.2%,UTA,18,0
Henri,Jokiharju,2025,Defenseman,BUF,0,Right,72,205,25,1,"$3,100,000",26,UFA,3,"$3,000,000",3,"$2,662,841",60,3,7,10,14,56,51,16.23,0.32,0.8,4.2,-0.2,0,-1.8,0.8,-0.6,"$88,000,000",3.5%,"$95,500,000",3.1%,2.8%,BOS/BUF,29,0
Yegor,Sharangovich,2025,Center,CGY,1,Left,74,196,25,2,"$3,100,000",27,UFA,5,"$5,750,000",4,"$5,366,001",73,17,15,32,8,50,52,13.3,1.98,0.68,-3.1,0,1.5,0.7,1.7,-1.3,"$88,000,000",3.5%,"$95,500,000",6.0%,5.6%,CGY,141,0
Matt,Duchene,2025,Center,DAL,1,Left,71,212,33,1,"$3,000,000",34,UFA,4,"$4,500,000",4,"$4,451,535",82,30,52,82,12,55,50,13.72,2.45,0.07,10.5,-2.9,6.7,-0.2,1.7,-0.7,"$88,000,000",3.4%,"$95,500,000",4.7%,4.7%,DAL,3,0
Olli,Maatta,2025,Defenseman,UTA,1,Left,74,209,28,2,"$3,000,000",30,UFA,3,"$3,500,000",3,"$3,518,793",77,2,16,18,16,51,52,17.28,0.05,1.63,-4.5,8.4,0,-0.1,1.8,0.3,"$88,000,000",3.4%,"$95,500,000",3.7%,3.7%,DET/UTA,22,0
Jordan,Greenway,2025,Center,BUF,1,Left,78,231,24,3,"$3,000,000",27,UFA,2,"$4,000,000",3,"$3,863,203",34,3,5,8,45,46,52,11.85,0.07,2.42,1.5,0.7,0,-1,-0.5,0.6,"$88,000,000",3.4%,"$95,500,000",4.2%,4.0%,BUF,50,0
Brayden,McNabb,2025,Defenseman,VGK,1,Left,76,214,31,3,"$2,850,000",34,UFA,3,"$3,650,000",3,"$3,702,719",82,5,15,20,32,61,52,17.58,0.02,1.88,4.4,5.4,0,2.1,0.1,-0.5,"$88,000,000",3.2%,"$95,500,000",3.8%,3.9%,VGK,66,0
Jack,Roslovic,2025,Center,CAR,0,Right,73,194,27,1,"$2,800,000",28,UFA,1,"$1,500,000",2,"$1,746,754",81,22,17,39,10,45,56,12.07,1.38,0,5.3,-4.3,-1.1,0,1.4,-0.2,"$88,000,000",3.2%,"$95,500,000",1.6%,1.8%,CAR,25,0
Matt,Grzelcyk,2025,Defenseman,PIT,1,Left,70,181,30,1,"$2,750,000",31,UFA,1,"$1,000,000",1,"$1,139,264",82,1,39,40,16,48,50,17.55,2.03,0.58,3.3,-1.4,3.7,1.7,1.7,-0.7,"$88,000,000",3.1%,"$95,500,000",1.0%,1.2%,PIT,85,0
Luke,Kunin,2025,Center,SJ,0,Right,72,196,26,1,"$2,750,000",27,UFA,1,"$775,000",2,"$1,328,013",75,11,7,18,55,33,41,12.08,0.65,1.65,-1,-1.7,-1.2,1.4,-0.4,-1.3,"$88,000,000",3.1%,"$95,500,000",0.8%,1.4%,CBJ/S.J,15,0
William,Borgen,2025,Defenseman,SEA,0,Right,75,205,26,2,"$2,700,000",28,UFA,5,"$4,100,000",4,"$3,944,405",84,5,10,15,42,44,46,15.48,0.08,1.22,-1.3,0.4,-0.1,-1.6,1.2,0.4,"$88,000,000",3.1%,"$95,500,000",4.3%,4.1%,NYR/SEA,92,0
Tanner,Jeannot,2025,Winger,LA,1,Left,74,220,26,2,"$2,665,000",28,UFA,5,"$3,400,000",4,"$3,054,340",67,7,6,13,89,50,50,10.87,0.07,0.02,-0.2,2,0,0,-0.8,0.5,"$88,000,000",3.0%,"$95,500,000",3.6%,3.2%,L.A,250,1
Noah,Cates,2025,Winger,PHI,1,Left,73,165,24,2,"$2,625,000",26,RFA+ARB,4,"$4,000,000",4,"$4,163,580",78,16,21,37,14,52,49,12.83,0.9,1.45,4.8,-0.1,-1.3,0,1.6,-0.3,"$88,000,000",3.0%,"$95,500,000",4.2%,4.4%,PHI,137,0
Sean,Kuraly,2025,Center,CBJ,1,Left,74,209,28,4,"$2,500,000",32,UFA,2,"$1,850,000",2,"$2,258,309",82,6,11,17,40,46,49,10.67,0.07,0.83,1.5,0.7,0,0.3,-0.2,-0.2,"$88,000,000",2.8%,"$95,500,000",1.9%,2.4%,CBJ,132,0
Jonathan,Drouin,2025,Winger,COL,1,Left,72,203,29,1,"$2,500,000",30,UFA,2,"$4,000,000",2,"$3,865,383",43,11,26,37,6,53,57,14.22,2.95,0,8.6,-3,3.4,0,1.1,-1.1,"$88,000,000",2.8%,"$95,500,000",4.2%,4.0%,COL,3,0
Dante,Fabbro,2025,Defenseman,NSH,0,Right,72,201,25,1,"$2,500,000",26,UFA,4,"$4,125,000",4,"$4,056,988",68,9,17,26,40,55,51,18.82,0.07,1.45,4.3,5,0,-0.3,-0.5,0.5,"$88,000,000",2.8%,"$95,500,000",4.3%,4.2%,CBJ/NSH,17,0
Cody,Glass,2025,Center,PIT,0,Right,75,201,24,2,"$2,500,000",26,RFA+ARB,2,"$2,500,000",2,"$2,378,340",65,6,16,22,16,46,55,11.57,0.58,1.17,3.4,5.6,0.1,-0.1,0.7,-0.6,"$88,000,000",2.8%,"$95,500,000",2.6%,2.5%,N.J/PIT,6,0
Alex,Romanov,2025,Defenseman,NYI,1,Left,73,220,22,3,"$2,500,000",25,RFA+ARB,8,"$6,250,000",7,"$6,006,961",64,4,16,20,20,49,49,19.5,0.12,1.88,1.3,0.4,0,1.8,1.3,0.3,"$88,000,000",2.8%,"$95,500,000",6.5%,6.3%,NYI,38,0
Lars,Eller,2025,Center,WSH,1,Left,73,207,34,2,"$2,450,000",36,UFA,1,"$2,250,000",1,"$2,223,302",80,10,12,22,36,42,52,11.72,0.3,0.95,-2.1,1.8,0.1,0,-1.3,0.5,"$88,000,000",2.8%,"$95,500,000",2.4%,2.3%,PIT/WSH,13,0
Jacob,Middleton,2025,Defenseman,MIN,1,Left,75,218,26,3,"$2,450,000",29,UFA,4,"$4,350,000",4,"$4,715,837",67,8,13,21,40,51,45,19.15,0.08,1.93,2.5,-1.7,0,-0.3,0.9,0.2,"$88,000,000",2.8%,"$95,500,000",4.6%,4.9%,MIN,210,0
Kaapo,Kakko,2025,Winger,SEA,1,Left,74,216,23,1,"$2,400,000",24,RFA+ARB,3,"$4,525,000",3,"$4,866,018",79,14,30,44,38,50,49,13.55,1.48,0,3.9,-2.2,-0.3,0,0.2,0.1,"$88,000,000",2.7%,"$95,500,000",4.7%,5.1%,NYR/SEA,2,0
Garnet,Hathaway,2025,Winger,PHI,0,Right,75,207,31,2,"$2,375,000",33,UFA,2,"$2,400,000",2,"$2,560,429",67,10,11,21,58,50,45,10.27,0.07,1.33,2.8,2.8,-0.1,1.2,-0.2,2.2,"$88,000,000",2.7%,"$95,500,000",2.5%,2.7%,PHI,250,1
Alexis,Lafreniere,2025,Winger,NYR,1,Left,74,196,21,2,"$2,325,000",23,RFA+ARB,7,"$7,450,000",6,"$7,049,537",82,17,28,45,38,48,52,14.9,1.47,0,7.7,-1.7,0.3,0,0.9,-0.9,"$88,000,000",2.6%,"$95,500,000",7.8%,7.4%,NYR,1,0
Trent,Frederic,2025,Center,EDM,1,Left,75,220,25,2,"$2,300,000",27,UFA,8,"$3,850,000",5,"$3,279,554",58,8,7,15,44,38,48,12.2,0.82,0.43,-1.6,0.1,0.4,0.2,0,-1.1,"$88,000,000",2.6%,"$95,500,000",4.0%,3.4%,BOS/EDM,29,0
Nicolas,Hague,2025,Defenseman,VGK,1,Left,78,240,23,3,"$2,294,150",26,RFA+ARB,4,"$5,500,000",3,"$5,031,096",68,5,7,12,40,48,47,15.82,0.02,0.97,-2.2,-0.5,0,-1.3,1.1,0,"$88,000,000",2.6%,"$95,500,000",5.8%,5.3%,VGK,34,0
Philipp,Kurashev,2025,Center,CHI,1,Left,72,190,23,2,"$2,250,000",25,UFA no QO,1,"$1,200,000",2,"$1,605,535",51,7,7,14,14,29,43,12.17,0.42,0.87,-3.7,0.8,-0.4,0.8,0.4,0,"$88,000,000",2.6%,"$95,500,000",1.3%,1.7%,CHI,120,0
Evgeny,Dadonov,2025,Winger,DAL,1,Left,72,190,34,2,"$2,250,000",36,UFA,1,"$3,250,000",1,"$3,063,172",80,20,20,40,10,51,48,12.32,0.95,0,6.2,-0.7,-0.6,0,1.4,-0.8,"$88,000,000",2.6%,"$95,500,000",3.4%,3.2%,DAL,71,0
